users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant
1000,1,very_complex,neo4j_normal,postgres_optimized,15.304563730256863,1.1669159160790454e-32,True
1000,1,very_complex,neo4j_optimized,postgres_normal,19.013542429084797,3.839615468483909e-42,True
1000,1,very_complex,neo4j_optimized,postgres_optimized,19.68359434218855,3.94090036663239e-44,True
1000,1,very_complex,postgres_normal,postgres_optimized,3.999531420930022,8.140744286671905e-05,True
1000,3,complex,neo4j_normal,neo4j_optimized,-0.054793133910385025,0.95634001610863,False
1000,3,complex,neo4j_normal,postgres_normal,4.792156223150156,3.9240016638942074e-06,True
1000,3,complex,neo4j_normal,postgres_optimized,5.104156848277972,9.967958575116725e-07,True
1000,3,complex,neo4j_optimized,postgres_normal,4.735071029632968,5.019460514254911e-06,True
1000,3,complex,neo4j_optimized,postgres_optimized,5.038025605151316,1.3407837608397528e-06,True
1000,3,complex,postgres_normal,postgres_optimized,4.0137524347130755,8.294852614140015e-05,True
1000,3,create,neo4j_normal,neo4j_optimized,-0.3197457190785124,0.7493321639285144,False
1000,3,create,neo4j_normal,postgres_normal,-38.89936187939078,9.273519862106841e-123,True
1000,3,create,neo4j_normal,postgres_optimized,-40.068627657436316,3.685467875127314e-138,True
1000,3,create,neo4j_optimized,postgres_normal,-42.678011853517866,1.131076503469529e-139,True
1000,3,create,neo4j_optimized,postgres_optimized,-43.12603788541639,2.0051783906579894e-151,True
1000,3,create,postgres_normal,postgres_optimized,-6.405112267003652,4.66168167630605e-10,True
1000,3,delete,neo4j_normal,neo4j_optimized,-1.2112101767881605,0.22653390990559694,False
1000,3,delete,neo4j_normal,postgres_normal,-47.96505513238861,4.798784414057177e-162,True
1000,3,delete,neo4j_normal,postgres_optimized,-47.06365710577901,5.009723971420884e-164,True
1000,3,delete,neo4j_optimized,postgres_normal,-45.93802511002443,3.6263496948451232e-155,True
1000,3,delete,neo4j_optimized,postgres_optimized,-45.22049586954327,7.144568839868954e-158,True
1000,3,delete,postgres_normal,postgres_optimized,-2.5810768699687876,0.010215952197469675,True
1000,3,easy,neo4j_normal,neo4j_optimized,0.08517903808086427,0.9321762535172262,False
1000,3,easy,neo4j_normal,postgres_normal,6.176608636470264,5.932895605734706e-09,True
1000,3,easy,neo4j_normal,postgres_optimized,6.177390454893366,5.909570426917423e-09,True
1000,3,easy,neo4j_optimized,postgres_normal,6.079847900285764,9.640832195226972e-09,True
1000,3,easy,neo4j_optimized,postgres_optimized,6.080632740575456,9.603111501279783e-09,True
1000,3,easy,postgres_normal,postgres_optimized,0.04465383420783,0.9644131388437711,False
1000,3,medium,neo4j_normal,neo4j_optimized,0.39690151134858886,0.691728258239529,False
1000,3,medium,neo4j_normal,postgres_normal,7.489265388039876,5.6134410042600825e-12,True
1000,3,medium,neo4j_normal,postgres_optimized,7.429889280987007,7.77342034249668e-12,True
1000,3,medium,neo4j_optimized,postgres_normal,7.848242590477566,7.534805774564671e-13,True
1000,3,medium,neo4j_optimized,postgres_optimized,7.780994654278919,1.0962673204691697e-12,True
1000,3,medium,postgres_normal,postgres_optimized,-1.35724359648754,0.17577429243747048,False
1000,3,update,neo4j_normal,neo4j_optimized,0.8878619280261839,0.3752569038598552,False
1000,3,update,neo4j_normal,postgres_normal,5.308904418193945,2.9321263158086944e-07,True
1000,3,update,neo4j_normal,postgres_optimized,5.264374426537852,3.6294579614538966e-07,True
1000,3,update,neo4j_optimized,postgres_normal,6.8713819382698516,7.969621121257107e-11,True
1000,3,update,neo4j_optimized,postgres_optimized,6.799769523048025,1.194759810271154e-10,True
1000,3,update,postgres_normal,postgres_optimized,-3.9269939977005883,0.00010236225530342375,True
1000,3,very_complex,neo4j_normal,neo4j_optimized,0.1724647163965728,0.8631898496356561,False
1000,3,very_complex,neo4j_normal,postgres_normal,-16.09168199176475,7.396955072733528e-36,True
1000,3,very_complex,neo4j_normal,postgres_optimized,-15.780277455184523,6.739156619452334e-35,True
1000,3,very_complex,neo4j_optimized,postgres_normal,-15.284215625292745,1.860303303632604e-33,True
1000,3,very_complex,neo4j_optimized,postgres_optimized,-14.989133239090744,1.458352104880455e-32,True
1000,3,very_complex,postgres_normal,postgres_optimized,1.0200910533371637,0.30851397387072166,False
1000,5,complex,neo4j_normal,neo4j_optimized,-0.16632122369017663,0.8680172948106217,False
1000,5,complex,neo4j_normal,postgres_normal,3.808864781172609,0.00020298330344885803,True
1000,5,complex,neo4j_normal,postgres_optimized,3.9027950510359126,0.00014337206577977012,True
1000,5,complex,neo4j_optimized,postgres_normal,3.8342672150820962,0.00018485740845819936,True
1000,5,complex,neo4j_optimized,postgres_optimized,3.9230067759611407,0.00013291322598011694,True
1000,5,complex,postgres_normal,postgres_optimized,1.1573200328679663,0.248170401574778,False
1000,5,create,neo4j_normal,neo4j_optimized,-0.6208541831887986,0.5351702529939603,False
1000,5,create,neo4j_normal,postgres_normal,-103.8411494416302,3.61595836046779e-290,True
1000,5,create,neo4j_normal,postgres_optimized,-98.14846097057837,5.08136639541789e-279,True
1000,5,create,neo4j_optimized,postgres_normal,-66.07539635094108,8.093689026788655e-178,True
1000,5,create,neo4j_optimized,postgres_optimized,-64.98234925374356,5.1847412075791145e-185,True
1000,5,create,postgres_normal,postgres_optimized,-1.2858047447631304,0.19927208479109867,False
1000,5,delete,neo4j_normal,neo4j_optimized,-0.29805891290356107,0.7658985793267946,False
1000,5,delete,neo4j_normal,postgres_normal,-58.49795606316603,1.4657298979051434e-156,True
1000,5,delete,neo4j_normal,postgres_optimized,-59.61733962693262,1.069783197694406e-148,True
1000,5,delete,neo4j_optimized,postgres_normal,-108.45420256574408,2.5471690932621026e-294,True
1000,5,delete,neo4j_optimized,postgres_optimized,-120.27493126884464,1.02179084213e-312,True
1000,5,delete,postgres_normal,postgres_optimized,1.3064527911949337,0.1921906939492192,False
1000,5,easy,neo4j_normal,neo4j_optimized,0.002156469770607779,0.9982808302612111,False
1000,5,easy,neo4j_normal,postgres_normal,5.979186097980995,1.5905231183170938e-08,True
1000,5,easy,neo4j_normal,postgres_optimized,5.979404586809114,1.588752764412607e-08,True
1000,5,easy,neo4j_optimized,postgres_normal,5.975172051255516,1.6224304573220472e-08,True
1000,5,easy,neo4j_optimized,postgres_optimized,5.975390528495938,1.6206254808855278e-08,True
1000,5,easy,postgres_normal,postgres_optimized,0.0153458544449344,0.9877665429519693,False
1000,5,medium,neo4j_normal,neo4j_optimized,-0.16813514823802117,0.8665912613008204,False
1000,5,medium,neo4j_normal,postgres_normal,7.789418206093192,1.0530335320668477e-12,True
1000,5,medium,neo4j_normal,postgres_optimized,7.729198647292486,1.4738737625099777e-12,True
1000,5,medium,neo4j_optimized,postgres_normal,7.665055069196391,2.1154612682159617e-12,True
1000,5,medium,neo4j_optimized,postgres_optimized,7.607649100739649,2.909234616244013e-12,True
1000,5,medium,postgres_normal,postgres_optimized,-1.6618342372664998,0.09763802865506237,False
1000,5,update,neo4j_normal,neo4j_optimized,0.16070215232569052,0.8724144783859418,False
1000,5,update,neo4j_normal,postgres_normal,3.950969444082942,0.0001080418983559565,True
1000,5,update,neo4j_normal,postgres_optimized,3.913530367283387,0.00012483481454613534,True
1000,5,update,neo4j_optimized,postgres_normal,4.819383190368663,2.8521824865710478e-06,True
1000,5,update,neo4j_optimized,postgres_optimized,4.771188797010997,3.537693672923967e-06,True
1000,5,update,postgres_normal,postgres_optimized,-4.083202186022449,5.516430218704459e-05,True
1000,5,very_complex,neo4j_normal,neo4j_optimized,0.6065861547719946,0.5445901296936874,False
