users,concurrency,variant,complexity,p99_duration
1000,1,neo4j_normal,complex,36.95309999999999
1000,1,neo4j_normal,create,26.004599999999996
1000,1,neo4j_normal,delete,18.058899999999994
1000,1,neo4j_normal,easy,4714.2342
1000,1,neo4j_normal,medium,717.3069
1000,1,neo4j_normal,update,888.8350999999984
1000,1,neo4j_normal,very_complex,31.023299999999992
1000,1,neo4j_optimized,complex,40.21459999999997
1000,1,neo4j_optimized,create,20.60219999999999
1000,1,neo4j_optimized,delete,16.740599999999997
1000,1,neo4j_optimized,easy,4691.8099
1000,1,neo4j_optimized,medium,930.9949999999992
1000,1,neo4j_optimized,update,570.764199999992
1000,1,neo4j_optimized,very_complex,28.32279999999999
1000,1,postgres_normal,complex,4.4453
1000,1,postgres_normal,create,11.102399999999998
1000,1,postgres_normal,delete,8.9703
1000,1,postgres_normal,easy,100.5602
1000,1,postgres_normal,medium,19.0814
1000,1,postgres_normal,update,8.620599999999998
1000,1,postgres_normal,very_complex,4.9051
1000,1,postgres_optimized,complex,2.3903999999999996
1000,1,postgres_optimized,create,10.611599999999997
1000,1,postgres_optimized,delete,10.8508
1000,1,postgres_optimized,easy,100.31489999999998
1000,1,postgres_optimized,medium,19.9657
1000,1,postgres_optimized,update,11.117999999999991
1000,1,postgres_optimized,very_complex,4.830399999999999
1000,3,neo4j_normal,complex,110.60529999999996
1000,3,neo4j_normal,create,15.793999999999977
1000,3,neo4j_normal,delete,14.397799999999993
1000,3,neo4j_normal,easy,14811.945399999999
1000,3,neo4j_normal,medium,2180.398199999999
1000,3,neo4j_normal,update,1260.7562999999898
1000,3,neo4j_normal,very_complex,43.1187999999999
1000,3,neo4j_optimized,complex,109.98369999999991
1000,3,neo4j_optimized,create,19.956899999999994
1000,3,neo4j_optimized,delete,17.33249999999999
1000,3,neo4j_optimized,easy,14835.4365
1000,3,neo4j_optimized,medium,1098.7948
1000,3,neo4j_optimized,update,478.7793999999999
1000,3,neo4j_optimized,very_complex,35.5035999999999
1000,3,postgres_normal,complex,36.490899999999925
1000,3,postgres_normal,create,26.658699999999836
1000,3,postgres_normal,delete,37.23649999999995
1000,3,postgres_normal,easy,213.0648
1000,3,postgres_normal,medium,61.719099999999976
1000,3,postgres_normal,update,43.29929999999998
1000,3,postgres_normal,very_complex,37.526699999999906
1000,3,postgres_optimized,complex,28.200999999999997
1000,3,postgres_optimized,create,40.62089999999992
1000,3,postgres_optimized,delete,39.36749999999998
1000,3,postgres_optimized,easy,212.2496
1000,3,postgres_optimized,medium,67.0774
1000,3,postgres_optimized,update,33.62209999999998
1000,3,postgres_optimized,very_complex,36.1528
1000,5,neo4j_normal,complex,173.10229999999999
1000,5,neo4j_normal,create,19.939099999999993
1000,5,neo4j_normal,delete,16.40449999999997
1000,5,neo4j_normal,easy,25198.1982
1000,5,neo4j_normal,medium,1456.7175999999993
1000,5,neo4j_normal,update,708.622699999991
1000,5,neo4j_normal,very_complex,38.7968
1000,5,neo4j_optimized,complex,232.26879999999912
1000,5,neo4j_optimized,create,51.46899999999997
1000,5,neo4j_optimized,delete,16.436499999999995
1000,5,neo4j_optimized,easy,25127.7053
1000,5,neo4j_optimized,medium,1576.9099999999983
1000,5,neo4j_optimized,update,711.6449999999885
1000,5,neo4j_optimized,very_complex,33.06489999999994
1000,5,postgres_normal,complex,68.79449999999994
1000,5,postgres_normal,create,62.8488
1000,5,postgres_normal,delete,63.44009999999999
1000,5,postgres_normal,easy,328.3664
1000,5,postgres_normal,medium,82.41609999999999
1000,5,postgres_normal,update,47.51279999999999
1000,5,postgres_normal,very_complex,55.890899999999995
1000,5,postgres_optimized,complex,60.3324
1000,5,postgres_optimized,create,66.24059999999999
1000,5,postgres_optimized,delete,50.21649999999985
1000,5,postgres_optimized,easy,331.67929999999996
1000,5,postgres_optimized,medium,90.48639999999999
1000,5,postgres_optimized,update,62.144799999999975
1000,5,postgres_optimized,very_complex,61.54789999999999
1000,10,neo4j_normal,complex,344.1814999999999
1000,10,neo4j_normal,create,21.049999999999937
1000,10,neo4j_normal,delete,17.146199999999983
1000,10,neo4j_normal,easy,50845.4461
1000,10,neo4j_normal,medium,4211.530999999988
1000,10,neo4j_normal,update,655.5365999999989
1000,10,neo4j_normal,very_complex,58.33509999999994
1000,10,neo4j_optimized,complex,359.81759999999974
1000,10,neo4j_optimized,create,26.48329999999996
1000,10,neo4j_optimized,delete,20.808299999999974
1000,10,neo4j_optimized,easy,50545.1023
1000,10,neo4j_optimized,medium,9210.945199999995
1000,10,neo4j_optimized,update,548.0371999999996
1000,10,neo4j_optimized,very_complex,47.2001
1000,10,postgres_normal,complex,117.66029999999998
1000,10,postgres_normal,create,117.29899999999998
1000,10,postgres_normal,delete,112.2507
1000,10,postgres_normal,easy,664.4128999999999
1000,10,postgres_normal,medium,157.62559999999996
1000,10,postgres_normal,update,117.7221
1000,10,postgres_normal,very_complex,116.4418
1000,10,postgres_optimized,complex,114.18079999999999
1000,10,postgres_optimized,create,114.25869999999998
1000,10,postgres_optimized,delete,103.97869999999989
1000,10,postgres_optimized,easy,650.2391999999999
1000,10,postgres_optimized,medium,162.9296
1000,10,postgres_optimized,update,114.406
1000,10,postgres_optimized,very_complex,120.285
10000,1,neo4j_normal,complex,74.88569999999994
10000,1,neo4j_normal,create,53.292199999999994
10000,1,neo4j_normal,delete,23.4423
10000,1,neo4j_normal,easy,4661.3679
10000,1,neo4j_normal,medium,826.1622999999989
10000,1,neo4j_normal,update,425.0783
10000,1,neo4j_normal,very_complex,197.6503
10000,1,neo4j_optimized,complex,136.3616999999998
10000,1,neo4j_optimized,create,54.507999999999996
10000,1,neo4j_optimized,delete,87.06079999999992
10000,1,neo4j_optimized,easy,4613.978999999999
10000,1,neo4j_optimized,medium,784.4208999999992
10000,1,neo4j_optimized,update,813.8686999999975
10000,1,neo4j_optimized,very_complex,167.77849999999998
10000,1,postgres_normal,complex,29.445899999999998
10000,1,postgres_normal,create,11.090499999999999
10000,1,postgres_normal,delete,10.8019
10000,1,postgres_normal,easy,92.2411
10000,1,postgres_normal,medium,92.2018
10000,1,postgres_normal,update,10.771399999999998
10000,1,postgres_normal,very_complex,40.231
10000,1,postgres_optimized,complex,9.8702
10000,1,postgres_optimized,create,14.192899999999996
10000,1,postgres_optimized,delete,6.1905
10000,1,postgres_optimized,easy,93.9051
10000,1,postgres_optimized,medium,21.3653
10000,1,postgres_optimized,update,9.82099999999999
10000,1,postgres_optimized,very_complex,43.4987
10000,3,neo4j_normal,complex,140.03789999999995
10000,3,neo4j_normal,create,37.434299999999986
10000,3,neo4j_normal,delete,22.9301
10000,3,neo4j_normal,easy,14791.8619
10000,3,neo4j_normal,medium,1130.5456999999997
10000,3,neo4j_normal,update,560.056099999996
10000,3,neo4j_normal,very_complex,211.5596999999999
10000,3,neo4j_optimized,complex,160.4800999999999
10000,3,neo4j_optimized,create,80.10839999999996
10000,3,neo4j_optimized,delete,36.78249999999999
10000,3,neo4j_optimized,easy,14797.0522
10000,3,neo4j_optimized,medium,1869.4355999999964
10000,3,neo4j_optimized,update,476.0502999999999
10000,3,neo4j_optimized,very_complex,233.3708
10000,3,postgres_normal,complex,66.05659999999996
10000,3,postgres_normal,create,26.45029999999999
10000,3,postgres_normal,delete,27.044599999999996
10000,3,postgres_normal,easy,210.2518
