users,concurrency,variant,query_no,p50_duration
1000,3,neo4j_optimized,19,13.53
1000,3,neo4j_optimized,20,12.955
1000,3,neo4j_optimized,21,12.265
1000,3,neo4j_optimized,22,12.14
1000,3,neo4j_optimized,23,12.735
1000,3,neo4j_optimized,24,14.375
1000,3,postgres_normal,1,54.42
1000,3,postgres_normal,2,22.94
1000,3,postgres_normal,3,23.93
1000,3,postgres_normal,4,26.035
1000,3,postgres_normal,5,52.004999999999995
1000,3,postgres_normal,6,23.134999999999998
1000,3,postgres_normal,7,27.700000000000003
1000,3,postgres_normal,8,26.12
1000,3,postgres_normal,9,24.09
1000,3,postgres_normal,10,26.235
1000,3,postgres_normal,11,27.525
1000,3,postgres_normal,12,26.305
1000,3,postgres_normal,13,23.9
1000,3,postgres_normal,14,23.884999999999998
1000,3,postgres_normal,15,24.09
1000,3,postgres_normal,16,24.095
1000,3,postgres_normal,17,23.71
1000,3,postgres_normal,18,23.77
1000,3,postgres_normal,19,23.7
1000,3,postgres_normal,20,23.915
1000,3,postgres_normal,21,23.82
1000,3,postgres_normal,22,23.75
1000,3,postgres_normal,23,23.759999999999998
1000,3,postgres_normal,24,23.814999999999998
1000,3,postgres_optimized,1,53.94499999999999
1000,3,postgres_optimized,2,23.035
1000,3,postgres_optimized,3,24.064999999999998
1000,3,postgres_optimized,4,26.305
1000,3,postgres_optimized,5,59.51
1000,3,postgres_optimized,6,23.47
1000,3,postgres_optimized,7,25.035
1000,3,postgres_optimized,8,26.75
1000,3,postgres_optimized,9,24.405
1000,3,postgres_optimized,10,25.994999999999997
1000,3,postgres_optimized,11,27.905
1000,3,postgres_optimized,12,26.06
1000,3,postgres_optimized,13,25.805
1000,3,postgres_optimized,14,25.955
1000,3,postgres_optimized,15,26.05
1000,3,postgres_optimized,16,26.175
1000,3,postgres_optimized,17,25.605
1000,3,postgres_optimized,18,25.25
1000,3,postgres_optimized,19,24.08
1000,3,postgres_optimized,20,24.475
1000,3,postgres_optimized,21,24.105
1000,3,postgres_optimized,22,23.925
1000,3,postgres_optimized,23,24.18
1000,3,postgres_optimized,24,24.23
1000,5,neo4j_normal,1,5316.0
1000,5,neo4j_normal,2,37.230000000000004
1000,5,neo4j_normal,3,133.075
1000,5,neo4j_normal,4,1247.325
1000,5,neo4j_normal,5,4.265000000000001
1000,5,neo4j_normal,6,34.69
1000,5,neo4j_normal,7,158.36
1000,5,neo4j_normal,8,8.375
1000,5,neo4j_normal,9,33.465
1000,5,neo4j_normal,10,7.85
1000,5,neo4j_normal,11,30.345
1000,5,neo4j_normal,12,7.615
1000,5,neo4j_normal,13,12.04
1000,5,neo4j_normal,14,12.16
1000,5,neo4j_normal,15,12.05
1000,5,neo4j_normal,16,13.385000000000002
1000,5,neo4j_normal,17,452.61
1000,5,neo4j_normal,18,2.76
1000,5,neo4j_normal,19,15.785
1000,5,neo4j_normal,20,16.505000000000003
1000,5,neo4j_normal,21,12.13
1000,5,neo4j_normal,22,12.015
1000,5,neo4j_normal,23,12.19
1000,5,neo4j_normal,24,12.620000000000001
1000,5,neo4j_optimized,1,5328.200000000001
1000,5,neo4j_optimized,2,36.974999999999994
1000,5,neo4j_optimized,3,132.78
1000,5,neo4j_optimized,4,1287.83
1000,5,neo4j_optimized,5,4.035
1000,5,neo4j_optimized,6,34.91
