users,concurrency,variant,query_no,p99_duration
1000,1,neo4j_normal,1,4731.3795
1000,1,neo4j_normal,2,15.503699999999995
1000,1,neo4j_normal,3,32.91469999999999
1000,1,neo4j_normal,4,970.814299999999
1000,1,neo4j_normal,5,17.4424
1000,1,neo4j_normal,6,13.479099999999999
1000,1,neo4j_normal,7,70.65809999999986
1000,1,neo4j_normal,8,11.872699999999995
1000,1,neo4j_normal,9,19.01679999999999
1000,1,neo4j_normal,10,17.737399999999997
1000,1,neo4j_normal,11,31.532
1000,1,neo4j_normal,12,13.3714
1000,1,neo4j_normal,13,20.57179999999999
1000,1,neo4j_normal,14,22.637999999999984
1000,1,neo4j_normal,15,18.099899999999998
1000,1,neo4j_normal,16,27.642199999999992
1000,1,neo4j_normal,17,1450.5139999999985
1000,1,neo4j_normal,18,15.778699999999997
1000,1,neo4j_normal,19,19.14949999999999
1000,1,neo4j_normal,20,39.08219999999993
1000,1,neo4j_normal,21,15.2002
1000,1,neo4j_normal,22,17.009399999999992
1000,1,neo4j_normal,23,40.1565999999999
1000,1,neo4j_normal,24,17.050399999999996
1000,1,neo4j_optimized,1,4693.5506000000005
1000,1,neo4j_optimized,2,14.397599999999997
1000,1,neo4j_optimized,3,30.7019
1000,1,neo4j_optimized,4,2639.0481999999934
1000,1,neo4j_optimized,5,17.407899999999994
1000,1,neo4j_optimized,6,14.454499999999998
1000,1,neo4j_optimized,7,43.368599999999994
1000,1,neo4j_optimized,8,9.7472
1000,1,neo4j_optimized,9,15.1606
1000,1,neo4j_optimized,10,14.377599999999997
1000,1,neo4j_optimized,11,29.118299999999998
1000,1,neo4j_optimized,12,17.976499999999994
1000,1,neo4j_optimized,13,18.498099999999997
1000,1,neo4j_optimized,14,21.212199999999996
1000,1,neo4j_optimized,15,18.007299999999997
1000,1,neo4j_optimized,16,22.801899999999993
1000,1,neo4j_optimized,17,1476.4434999999999
1000,1,neo4j_optimized,18,16.3451
1000,1,neo4j_optimized,19,15.614499999999998
1000,1,neo4j_optimized,20,14.31
1000,1,neo4j_optimized,21,16.0675
1000,1,neo4j_optimized,22,15.039399999999997
1000,1,neo4j_optimized,23,14.9885
1000,1,neo4j_optimized,24,16.8816
1000,1,postgres_normal,1,101.4319
1000,1,postgres_normal,2,1.0551
1000,1,postgres_normal,3,1.9207999999999998
1000,1,postgres_normal,4,5.274499999999998
1000,1,postgres_normal,5,19.639599999999998
1000,1,postgres_normal,6,1.1552999999999998
1000,1,postgres_normal,7,4.510999999999999
1000,1,postgres_normal,8,2.2009999999999996
1000,1,postgres_normal,9,1.6203999999999998
1000,1,postgres_normal,10,3.2802
1000,1,postgres_normal,11,4.9151
1000,1,postgres_normal,12,3.5174999999999996
1000,1,postgres_normal,13,7.500599999999986
1000,1,postgres_normal,14,10.890799999999999
1000,1,postgres_normal,15,10.698199999999998
1000,1,postgres_normal,16,15.328199999999985
1000,1,postgres_normal,17,8.054099999999996
1000,1,postgres_normal,18,7.316599999999994
1000,1,postgres_normal,19,7.499099999999995
1000,1,postgres_normal,20,6.631199999999997
1000,1,postgres_normal,21,5.866399999999999
1000,1,postgres_normal,22,9.0765
1000,1,postgres_normal,23,8.8083
1000,1,postgres_normal,24,7.646499999999995
1000,1,postgres_optimized,1,102.392
1000,1,postgres_optimized,2,1.0756999999999999
1000,1,postgres_optimized,3,1.8755
1000,1,postgres_optimized,4,3.7318
1000,1,postgres_optimized,5,20.102
1000,1,postgres_optimized,6,1.1103999999999998
1000,1,postgres_optimized,7,2.2653
1000,1,postgres_optimized,8,2.4304
1000,1,postgres_optimized,9,1.68
1000,1,postgres_optimized,10,2.8701999999999996
1000,1,postgres_optimized,11,4.880599999999999
1000,1,postgres_optimized,12,2.7304
1000,1,postgres_optimized,13,9.853699999999996
1000,1,postgres_optimized,14,10.590399999999999
1000,1,postgres_optimized,15,9.625999999999996
1000,1,postgres_optimized,16,9.2255
1000,1,postgres_optimized,17,11.090399999999999
1000,1,postgres_optimized,18,10.8528
1000,1,postgres_optimized,19,9.384399999999996
1000,1,postgres_optimized,20,12.093599999999999
1000,1,postgres_optimized,21,10.6922
1000,1,postgres_optimized,22,11.329999999999998
1000,1,postgres_optimized,23,9.448599999999994
1000,1,postgres_optimized,24,9.165999999999993
