users,concurrency,variant,complexity,duration_ms_mean,duration_ms_std,duration_ms_var,avg_cpu_mean,avg_cpu_std,avg_cpu_var,avg_mem_mean,avg_mem_std,avg_mem_var
10000,5,postgres_normal,update,45.62225,3.8648857872181908,14.937342148241173,10.34245,0.6133461215530109,0.3761934648241208,2207.1708,704.4696283978715,496277.4573350351
10000,5,postgres_normal,delete,45.3658,2.49042858413232,6.2022345326633115,10.4529,0.5416896977451352,0.293427728643216,2216.59775,708.4619961837194,501918.40003662044
10000,5,postgres_optimized,easy,75.56806666666667,71.16137930289734,5063.941904290828,10.3622,0.9116832061941121,0.831166268456376,4699.882066666667,2142.332133676196,4589586.9709816035
10000,5,postgres_optimized,medium,56.31633333333334,13.062548052853607,170.63016163310957,18.706266666666668,11.073842481765844,122.62998731096191,4701.575866666667,2142.4664464139573,4590162.474009651
10000,5,postgres_optimized,complex,52.263933333333334,9.044532398319474,81.8035663042506,14.532866666666665,4.56252098815313,20.81659776733781,4708.022866666667,2147.264287432968,4610743.920085012
10000,5,postgres_optimized,very_complex,75.1172,13.359223700469823,178.46885787919462,21.473533333333336,2.82716096280698,7.992839109619691,4732.675,2168.711740533656,4703310.613528521
10000,5,postgres_optimized,create,46.34285,2.839645100887605,8.063584298994975,10.741700000000002,0.5448628152454393,0.2968754874371858,4775.0076,2202.0238832282853,4848909.182307778
10000,5,postgres_optimized,update,45.70455,1.8291170392339802,3.3456691432160817,10.5945,0.3976434983233022,0.15812035175879405,4823.99745,2240.5732726735573,5020168.590219095
10000,5,postgres_optimized,delete,45.6755,2.5528397332221227,6.516990703517598,10.543800000000001,0.5316434744446675,0.2826447839195979,4861.38365,2270.3105666853594,5154310.069203198
10000,10,neo4j_normal,easy,6299.541466666667,12714.554136389383,161659886.88717636,4.1986,1.2270043347861053,1.5055396375838925,7577.0474,18.672323251559554,348.65565561073157
10000,10,neo4j_normal,medium,912.5648,1423.1610418232303,2025387.3509633825,47.92406666666666,46.250438562719026,2139.1030672438474,7791.792666666666,153.72401693327848,23631.073382102888
10000,10,neo4j_normal,complex,204.489,115.81668635645987,13413.504838590598,13.709666666666665,5.117702060963249,26.190874384787488,7809.499066666667,148.99930972474934,22200.794298451787
10000,10,neo4j_normal,very_complex,118.36126666666665,86.83253166931682,7539.888556102908,78.8754,6.011471319304354,36.13778742281883,7809.5184,148.28930399493387,21989.717679301913
10000,10,neo4j_normal,create,18.33735,7.22620061680212,52.217975354271346,53.343999999999994,17.067728636348193,291.3073608040201,7810.1511,148.46346214049893,22041.39959074336
10000,10,neo4j_normal,update,136.85955,208.4943788772603,43469.906023414565,48.90625,29.13049455471899,848.5857130025126,7811.69835,147.79673057487014,21843.87356862075
10000,10,neo4j_normal,delete,15.7854,4.717198495743125,22.251961648241203,44.587399999999995,14.645262641180112,214.48371782914586,7812.304050000001,146.68218610896793,21515.6637217059
10000,10,neo4j_optimized,easy,6334.779533333333,12795.657764147245,163728857.6171817,4.333266666666667,1.2198847435196636,1.4881187874720352,7581.218666666667,27.40004065216799,750.7622277404585
10000,10,neo4j_optimized,medium,818.317,1179.4712481769845,1391152.425276174,56.3016,54.80666691527971,3003.7707383624156,7761.3368,90.51325372429413,8192.649099758444
10000,10,neo4j_optimized,complex,202.67953333333332,117.88375751713187,13896.580286357945,15.070933333333333,10.271252405071165,105.49862596868017,7765.7640666666675,89.17393920696152,7951.991433686868
10000,10,neo4j_optimized,very_complex,108.20013333333334,69.04354457124842,4767.011046961968,77.9648,7.975293705643393,63.60530969127513,7765.9274000000005,89.2075407204036,7957.985321382467
10000,10,neo4j_optimized,create,25.7419,17.69471304482482,313.10286973869364,58.790600000000005,19.97913667180726,399.1659021507537,7768.298199999999,86.85870797169689,7544.435150512521
10000,10,neo4j_optimized,update,147.2317,224.13445644285633,50236.254564934665,51.10575,27.050276945934563,731.717482851759,7768.28545,86.03882505521595,7402.679416882055
10000,10,neo4j_optimized,delete,21.2156,10.744740381663334,115.44944586934672,51.34915,16.557466693125797,274.14970329397005,7768.694200000001,86.23715003168893,7436.846045588026
