users,concurrency,query_no,variant_1,variant_2,t_stat,p_value,significant,cohen_d
1000,1,1,neo4j_normal,neo4j_optimized,0.24372548719436715,0.8079529209518983,False,0.04874509743887343
1000,1,1,neo4j_normal,postgres_normal,10.54107579159986,3.3551729387253425e-14,True,2.108215158319972
1000,1,1,neo4j_normal,postgres_optimized,10.540479599226138,3.360849373388539e-14,True,2.1080959198452276
1000,1,1,neo4j_optimized,postgres_normal,10.22582405924388,9.42148221656474e-14,True,2.045164811848776
1000,1,1,neo4j_optimized,postgres_optimized,10.225227638311779,9.437771606089575e-14,True,2.0450455276623556
1000,1,1,postgres_normal,postgres_optimized,-0.016385496760926106,0.9869601657047253,False,-0.003277099352185221
1000,1,2,neo4j_normal,neo4j_optimized,0.7841751406882673,0.4348661831339331,False,0.15683502813765351
1000,1,2,neo4j_normal,postgres_normal,40.51460538183,2.2400757381853104e-39,True,8.102921076366002
1000,1,2,neo4j_normal,postgres_optimized,40.549495269921366,2.1305851506067118e-39,True,8.109899053984275
1000,1,2,neo4j_optimized,postgres_normal,45.4910015817381,8.559800497505835e-42,True,9.098200316347622
1000,1,2,neo4j_optimized,postgres_optimized,45.5307158655716,8.102186047095605e-42,True,9.10614317311432
1000,1,2,postgres_normal,postgres_optimized,1.001094438151318,0.319253867327406,False,0.2002188876302636
1000,1,3,neo4j_normal,neo4j_optimized,0.9618792483775266,0.33857087741173164,False,0.19237584967550528
1000,1,3,neo4j_normal,postgres_normal,69.31864230767069,1.3068818199392962e-50,True,13.863728461534135
1000,1,3,neo4j_normal,postgres_optimized,69.34847121748744,1.325974038233698e-50,True,13.86969424349749
1000,1,3,neo4j_optimized,postgres_normal,83.25549975478054,1.674062515977404e-54,True,16.65109995095611
1000,1,3,neo4j_optimized,postgres_optimized,83.29593990962219,1.732903537872633e-54,True,16.659187981924436
1000,1,3,postgres_normal,postgres_optimized,0.7837440332214217,0.4351826384554368,False,0.1567488066442843
1000,1,4,neo4j_normal,neo4j_optimized,-0.9592802602111941,0.3417937874399508,False,-0.19185605204223882
1000,1,4,neo4j_normal,postgres_normal,38.16478949887176,4.138838589654054e-38,True,7.632957899774353
1000,1,4,neo4j_normal,postgres_optimized,38.17281941397487,4.1055212252019316e-38,True,7.634563882794976
1000,1,4,neo4j_optimized,postgres_normal,8.451236497490294,3.933502395296705e-11,True,1.6902472994980586
1000,1,4,neo4j_optimized,postgres_optimized,8.452753093174415,3.912810589307938e-11,True,1.6905506186348827
1000,1,4,postgres_normal,postgres_optimized,1.7777062060756588,0.08067340052988377,False,0.35554124121513175
1000,1,5,neo4j_normal,neo4j_optimized,0.2931584716254755,0.77002338132152,False,0.058631694325095095
1000,1,5,neo4j_normal,postgres_normal,-20.367544675090766,4.228339132209013e-29,True,-4.073508935018154
