users,concurrency,variant,complexity,n,mean,std,ci_lower,ci_upper
1000,1,neo4j_normal,complex,150,16.604466666666667,13.617695778076795,14.407376730986343,18.80155660234699
1000,1,neo4j_normal,create,200,13.5163,3.9109469235974017,12.970963879247588,14.06163612075241
1000,1,neo4j_normal,delete,200,11.67875,4.955987591036984,10.987695096880222,12.36980490311978
1000,1,neo4j_normal,easy,150,674.6067999999999,1197.650441432523,481.37691924655314,867.8366807534467
1000,1,neo4j_normal,medium,150,193.69906666666668,267.42143960710996,150.55307757122637,236.845055762107
1000,1,neo4j_normal,update,200,122.02555000000001,227.20402592533634,90.34458768116488,153.70651231883514
1000,1,neo4j_normal,very_complex,150,13.793199999999997,8.394383334734588,12.43884347437693,15.147556525623065
1000,1,neo4j_optimized,complex,150,16.50366666666666,12.577798775453285,14.474354545665268,18.532978787668053
1000,1,neo4j_optimized,create,200,13.54395,3.5094312124151066,13.05460058135192,14.033299418648081
1000,1,neo4j_optimized,delete,200,11.415,3.2501304187206808,10.961807065115003,11.868192934884995
1000,1,neo4j_optimized,easy,150,653.1282,1173.0717419109083,463.863866298793,842.392533701207
1000,1,neo4j_optimized,medium,150,218.14393333333334,422.75960445100003,149.9355603979625,286.3523062687042
1000,1,neo4j_optimized,update,200,120.00274999999998,219.92363055689154,89.33695424960285,150.6685457503971
1000,1,neo4j_optimized,very_complex,150,13.5028,6.315555326908974,12.483843248937697,14.521756751062304
1000,1,postgres_normal,complex,150,2.5246000000000004,1.1250536929767117,2.343082936744809,2.7061170632551916
1000,1,postgres_normal,create,200,2.9354499999999994,2.632905000414187,2.568321980294021,3.3025780197059778
1000,1,postgres_normal,delete,200,2.5044999999999997,1.6121027031886463,2.279711003476693,2.7292889965233065
1000,1,postgres_normal,easy,150,12.525733333333331,23.614849109234246,8.715694678039217,16.335771988627446
1000,1,postgres_normal,medium,150,7.258799999999998,7.218466430671978,6.094166848816802,8.423433151183193
1000,1,postgres_normal,update,200,2.6601,1.7808416478941558,2.4117823176307303,2.9084176823692696
1000,1,postgres_normal,very_complex,150,3.6316,0.7374862801590405,3.512613373316188,3.750586626683812
1000,1,postgres_optimized,complex,150,1.946,0.2837571511087767,1.9002183941366868,1.991781605863313
1000,1,postgres_optimized,create,200,4.1613999999999995,1.903565826093586,3.8959698564878806,4.4268301435121185
1000,1,postgres_optimized,delete,200,3.6922,1.7573018262503208,3.4471646723313265,3.937235327668674
1000,1,postgres_optimized,easy,150,12.554,23.770305286697912,8.71887992061543,16.38912007938457
1000,1,postgres_optimized,medium,150,7.554866666666666,7.706953605330731,6.311420603766093,8.79831272956724
1000,1,postgres_optimized,update,200,3.8045500000000003,2.1481053466722737,3.505021660800692,4.104078339199309
1000,1,postgres_optimized,very_complex,150,3.233666666666667,0.9700525251583006,3.077157615881602,3.3901757174517324
1000,3,neo4j_normal,complex,150,42.556133333333335,40.96450892736242,35.9468866772808,49.16537998938587
1000,3,neo4j_normal,create,200,12.0523,3.8318667413700718,11.517990692100517,12.586609307899485
1000,3,neo4j_normal,delete,200,11.5911,2.895628448291107,11.187338247161149,11.994861752838853
1000,3,neo4j_normal,easy,150,1939.9619333333335,3757.833076206169,1333.6701372578866,2546.2537294087806
1000,3,neo4j_normal,medium,150,341.8862,503.025628548624,260.7276424962623,423.0447575037376
1000,3,neo4j_normal,update,200,138.1806,304.0911074444201,95.77862724796168,180.58257275203832
1000,3,neo4j_normal,very_complex,150,13.914800000000001,9.85688303919257,12.324482601556356,15.505117398443646
1000,3,neo4j_optimized,complex,150,42.819066666666664,42.14228454621379,36.01979674964263,49.6183365836907
1000,3,neo4j_optimized,create,200,12.16705,3.328004487201628,11.702998430814352,12.631101569185647
1000,3,neo4j_optimized,delete,200,11.94585,2.961775794482749,11.53286476807158,12.35883523192842
1000,3,neo4j_optimized,easy,150,1903.0725333333335,3743.3311885293233,1299.1204834221721,2507.024583244495
1000,3,neo4j_optimized,medium,150,320.1002,445.98787755889725,248.14415889078464,392.0562411092153
1000,3,neo4j_optimized,update,200,115.71260000000001,188.6919668294595,89.40169698389121,142.0235030161088
1000,3,neo4j_optimized,very_complex,150,13.711200000000002,10.57780637996747,12.004568252768836,15.417831747231167
1000,3,postgres_normal,complex,150,26.490133333333333,2.8035021211293443,26.037814057343336,26.94245260932333
1000,3,postgres_normal,create,200,24.203549999999996,2.1983230011961252,23.89701939218229,24.510080607817702
1000,3,postgres_normal,delete,200,24.019949999999998,2.245948333574356,23.706778592775894,24.3331214072241
1000,3,postgres_normal,easy,150,44.674,46.507749314589766,37.170402503371264,52.177597496628735
1000,3,postgres_normal,medium,150,34.17653333333333,13.547038359148859,31.990843322173102,36.36222334449356
1000,3,postgres_normal,update,200,24.02135,2.728243250457763,23.640928168730284,24.40177183126972
1000,3,postgres_normal,very_complex,150,27.27413333333333,2.4953869349776743,26.871525608075284,27.67674105859138
1000,3,postgres_optimized,complex,150,25.475266666666666,1.3153490856051244,25.26304719246297,25.687486140870362
1000,3,postgres_optimized,create,200,25.900549999999996,3.034222425289658,25.477462926911972,26.32363707308802
1000,3,postgres_optimized,delete,200,24.65395,2.650079148813272,24.2844272447867,25.023472755213298
1000,3,postgres_optimized,easy,150,44.434266666666666,46.48097242722833,36.934989374475556,51.933543958857776
1000,3,postgres_optimized,medium,150,36.5588,16.691300025369888,33.86581229511972,39.25178770488028
1000,3,postgres_optimized,update,200,24.980700000000002,2.1196279445024255,24.685142503753,25.276257496247005
1000,3,postgres_optimized,very_complex,150,26.985799999999998,2.3993914972440367,26.598680255495296,27.3729197445047
