users,concurrency,variant,query_no,n,mean,std,ci_lower,ci_upper
1000,1,neo4j_normal,1,50,1988.9544,1310.4885595108476,1616.5176722238884,2361.3911277761117
1000,1,neo4j_normal,2,50,10.103200000000001,1.5950682155459364,9.649886628840662,10.55651337115934
1000,1,neo4j_normal,3,50,24.762800000000002,2.343672366877527,24.096735683021173,25.42886431697883
1000,1,neo4j_normal,4,50,561.2484,103.34532062627189,531.8779848478155,590.6188151521844
1000,1,neo4j_normal,5,50,10.265,2.296929849754641,9.612219759405452,10.91778024059455
1000,1,neo4j_normal,6,50,9.5838,1.2670597331408409,9.223705608116115,9.943894391883886
1000,1,neo4j_normal,7,50,33.5842,10.082360852863127,30.718824749643055,36.44957525035695
1000,1,neo4j_normal,8,50,5.700400000000001,1.7256361855553328,5.2099796223355295,6.190820377664473
1000,1,neo4j_normal,9,50,10.5288,2.46468082960791,9.828345458424826,11.229254541575175
1000,1,neo4j_normal,10,50,8.4662,2.8760963410959146,7.648822463757767,9.283577536242234
1000,1,neo4j_normal,11,50,25.121600000000004,2.4721892801188776,24.419011580399967,25.82418841960004
1000,1,neo4j_normal,12,50,7.791799999999999,1.7972049614524737,7.281040001273882,8.302559998726117
1000,1,neo4j_normal,13,50,12.945799999999998,3.4079541352188274,11.977270151097137,13.91432984890286
1000,1,neo4j_normal,14,50,13.756400000000001,3.3328977157532855,12.809200949494016,14.703599050505986
1000,1,neo4j_normal,15,50,12.118599999999999,3.57233360532791,11.103354022584083,13.133845977415914
1000,1,neo4j_normal,16,50,15.2444,4.604661861325201,13.935769578390264,16.553030421609737
1000,1,neo4j_normal,17,50,460.939,230.77061534593798,395.35471677786984,526.5232832221302
1000,1,neo4j_normal,18,50,4.4442,3.471122908353716,3.4577177844066815,5.430682215593319
1000,1,neo4j_normal,19,50,10.870000000000003,3.7468245058383802,9.805164257346393,11.934835742653613
1000,1,neo4j_normal,20,50,11.848999999999998,7.597949844315551,9.689686546031249,14.008313453968748
1000,1,neo4j_normal,21,50,10.8814,3.485964868042202,9.89069974613382,11.87210025386618
1000,1,neo4j_normal,22,50,11.0922,3.5639265722296942,10.079343274954645,12.105056725045355
1000,1,neo4j_normal,23,50,12.659199999999998,7.860895945197626,10.4251580909957,14.893241909004297
1000,1,neo4j_normal,24,50,12.0822,3.310140443410527,11.141468494733488,13.022931505266513
1000,1,neo4j_optimized,1,50,1925.1645999999998,1306.789470123381,1553.7791417960038,2296.550058203996
