users,concurrency,variant_1,variant_2,t_stat,p_value,significant
1000,1,neo4j_normal,neo4j_optimized,0.0027142542963883172,0.997834566838433,False
1000,1,neo4j_normal,postgres_normal,9.328436569044204,5.012796069253109e-20,True
1000,1,neo4j_normal,postgres_optimized,9.292358541114758,6.881161695092451e-20,True
1000,1,neo4j_optimized,postgres_normal,9.264228001348704,8.803061721410044e-20,True
1000,1,neo4j_optimized,postgres_optimized,9.22838361314265,1.2037317632269237e-19,True
1000,1,postgres_normal,postgres_optimized,-1.3240631873102404,0.18560825277086643,False
1000,3,neo4j_normal,neo4j_optimized,0.18292059095328755,0.854875790934509,False
1000,3,neo4j_normal,postgres_normal,6.804778817141516,1.594384674584933e-11,True
1000,3,neo4j_normal,postgres_optimized,6.7894668391368285,1.7661138252100438e-11,True
1000,3,neo4j_optimized,postgres_normal,6.613047458850281,5.655676458022125e-11,True
1000,3,neo4j_optimized,postgres_optimized,6.597582237455476,6.255027171230037e-11,True
1000,3,postgres_normal,postgres_optimized,-0.8570383912277438,0.3915093257815522,False
1000,5,neo4j_normal,neo4j_optimized,-0.005456292106496191,0.9956469842203195,False
1000,5,neo4j_normal,postgres_normal,6.176736638126157,8.945720953337505e-10,True
1000,5,neo4j_normal,postgres_optimized,6.170375198568625,9.30156808510379e-10,True
1000,5,neo4j_optimized,postgres_normal,6.1866190210620795,8.419049973824797e-10,True
1000,5,neo4j_optimized,postgres_optimized,6.180255291692924,8.754557131461404e-10,True
1000,5,postgres_normal,postgres_optimized,-0.39599492717534807,0.6921440533436255,False
1000,10,neo4j_normal,neo4j_optimized,-0.1532134395529965,0.8782428505455557,False
1000,10,neo4j_normal,postgres_normal,5.805627647679888,8.202347725155179e-09,True
1000,10,neo4j_normal,postgres_optimized,5.804668219340575,8.248163559424306e-09,True
1000,10,neo4j_optimized,postgres_normal,6.0118866047722275,2.4302872910681892e-09,True
1000,10,neo4j_optimized,postgres_optimized,6.010928986145351,2.4442669549027877e-09,True
1000,10,postgres_normal,postgres_optimized,-0.06477309659585691,0.9483600613916916,False
10000,1,neo4j_normal,neo4j_optimized,-0.11677698732838304,0.9070465593089294,False
10000,1,neo4j_normal,postgres_normal,9.866530691338149,3.916569055677179e-22,True
10000,1,neo4j_normal,postgres_optimized,10.1528609518648,2.7202357837298223e-23,True
10000,1,neo4j_optimized,postgres_normal,10.059133409114963,6.538074987799909e-23,True
10000,1,neo4j_optimized,postgres_optimized,10.346382749193992,4.3161104061421314e-24,True
10000,1,postgres_normal,postgres_optimized,5.689165489685853,1.4668194550026218e-08,True
10000,3,neo4j_normal,neo4j_optimized,-0.053848665342016745,0.9570602219036126,False
10000,3,neo4j_normal,postgres_normal,6.824163385001039,1.399794282069859e-11,True
10000,3,neo4j_normal,postgres_optimized,6.980156989476049,4.868621478954146e-12,True
10000,3,neo4j_optimized,postgres_normal,6.904388598052446,8.15169801365115e-12,True
10000,3,neo4j_optimized,postgres_optimized,7.060491074698507,2.8025502044953802e-12,True
10000,3,postgres_normal,postgres_optimized,5.647204836420869,1.8741017596957197e-08,True
10000,5,neo4j_normal,neo4j_optimized,-0.03903065322241193,0.968869198501493,False
10000,5,neo4j_normal,postgres_normal,6.090862511992441,1.509431748504327e-09,True
10000,5,neo4j_normal,postgres_optimized,6.313821665282049,3.8257016321326254e-10,True
10000,5,neo4j_optimized,postgres_normal,6.121636626012296,1.2521121227832784e-09,True
10000,5,neo4j_optimized,postgres_optimized,6.343708591479116,3.171956949847919e-10,True
10000,5,postgres_normal,postgres_optimized,6.657999080805977,3.848901573427865e-11,True
10000,10,neo4j_normal,neo4j_optimized,0.024716633768528957,0.9802830438545218,False
10000,10,neo4j_normal,postgres_normal,5.853056972138715,6.220652541892719e-09,True
10000,10,neo4j_normal,postgres_optimized,6.004476771769853,2.540511386935538e-09,True
10000,10,neo4j_optimized,postgres_normal,5.791570959078376,8.897389670016048e-09,True
10000,10,neo4j_optimized,postgres_optimized,5.9422851392106795,3.6792997688864428e-09,True
10000,10,postgres_normal,postgres_optimized,6.121760096538261,1.1452466052809554e-09,True
100000,1,neo4j_normal,neo4j_optimized,-0.3746076987630795,0.707985871265643,False
100000,1,neo4j_normal,postgres_normal,13.810246560490157,1.5449169996355013e-40,True
100000,1,neo4j_normal,postgres_optimized,14.41963962287128,9.462005439647002e-44,True
100000,1,neo4j_optimized,postgres_normal,16.11211193970489,2.178992984711809e-53,True
